LAUS_code,state_fips,county_fips,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN1209700000000,12,97,"Osceola County, FL",2021,185839,174170,11669,6.3
CN1209900000000,12,99,"Palm Beach County, FL",2021,734055,702386,31669,4.3
CN1210100000000,12,101,"Pasco County, FL",2021,246350,235484,10866,4.4
CN1210300000000,12,103,"Pinellas County, FL",2021,486173,466708,19465,4.0
CN1210500000000,12,105,"Polk County, FL",2021,328590,311005,17585,5.4
CN1210700000000,12,107,"Putnam County, FL",2021,27149,25501,1648,6.1
CN1210900000000,12,109,"St. Johns County, FL",2021,141901,137591,4310,3.0
CN1211100000000,12,111,"St. Lucie County, FL",2021,150366,143002,7364,4.9
CN1211300000000,12,113,"Santa Rosa County, FL",2021,84880,81942,2938,3.5
CN1211500000000,12,115,"Sarasota County, FL",2021,191384,184019,7365,3.8
CN1211700000000,12,117,"Seminole County, FL",2021,244546,234590,9956,4.1
CN1211900000000,12,119,"Sumter County, FL",2021,34621,32790,1831,5.3
CN1212100000000,12,121,"Suwannee County, FL",2021,17414,16637,777,4.5
CN1212300000000,12,123,"Taylor County, FL",2021,8112,7708,404,5.0
CN1212500000000,12,125,"Union County, FL",2021,4546,4376,170,3.7
CN1212700000000,12,127,"Volusia County, FL",2021,255093,243303,11790,4.6
CN1212900000000,12,129,"Wakulla County, FL",2021,15429,14941,488,3.2
CN1213100000000,12,131,"Walton County, FL",2021,33792,32597,1195,3.5
CN1213300000000,12,133,"Washington County, FL",2021,9507,9079,428,4.5
CN1300100000000,13,1,"Appling County, GA",2021,9288,8956,332,3.6
CN1300300000000,13,3,"Atkinson County, GA",2021,4503,4372,131,2.9
CN1300500000000,13,5,"Bacon County, GA",2021,4837,4680,157,3.2
CN1300700000000,13,7,"Baker County, GA",2021,1135,1079,56,4.9
CN1300900000000,13,9,"Baldwin County, GA",2021,17731,16885,846,4.8
CN1301100000000,13,11,"Banks County, GA",2021,10116,9854,262,2.6
CN1301300000000,13,13,"Barrow County, GA",2021,42115,40882,1233,2.9
CN1301500000000,13,15,"Bartow County, GA",2021,51257,49456,1801,3.5
CN1301700000000,13,17,"Ben Hill County, GA",2021,5568,5276,292,5.2
CN1301900000000,13,19,"Berrien County, GA",2021,7648,7363,285,3.7
CN1302100000000,13,21,"Bibb County, GA",2021,67875,64471,3404,5.0
CN1302300000000,13,23,"Bleckley County, GA",2021,4622,4393,229,5.0
CN1302500000000,13,25,"Brantley County, GA",2021,7296,7030,266,3.6
CN1302700000000,13,27,"Brooks County, GA",2021,6821,6566,255,3.7
CN1302900000000,13,29,"Bryan County, GA",2021,19894,19321,573,2.9
CN1303100000000,13,31,"Bulloch County, GA",2021,38062,36495,1567,4.1
CN1303300000000,13,33,"Burke County, GA",2021,9156,8621,535,5.8
CN1303500000000,13,35,"Butts County, GA",2021,11132,10727,405,3.6
CN1303700000000,13,37,"Calhoun County, GA",2021,2228,2138,90,4.0
CN1303900000000,13,39,"Camden County, GA",2021,21658,20973,685,3.2
CN1304300000000,13,43,"Candler County, GA",2021,6009,5827,182,3.0
CN1304500000000,13,45,"Carroll County, GA",2021,56140,54073,2067,3.7
CN1304700000000,13,47,"Catoosa County, GA",2021,33457,32551,906,2.7
CN1304900000000,13,49,"Charlton County, GA",2021,4959,4802,157,3.2
CN1305100000000,13,51,"Chatham County, GA",2021,143877,137644,6233,4.3
CN1305300000000,13,53,"Chattahoochee County, GA",2021,1912,1826,86,4.5
CN1305500000000,13,55,"Chattooga County, GA",2021,9562,9107,455,4.8
CN1305700000000,13,57,"Cherokee County, GA",2021,139406,135761,3645,2.6
CN1305900000000,13,59,"Clarke County, GA",2021,59167,56922,2245,3.8
CN1306100000000,13,61,"Clay County, GA",2021,884,794,90,10.2
CN1306300000000,13,63,"Clayton County, GA",2021,140309,131120,9189,6.5
CN1306500000000,13,65,"Clinch County, GA",2021,3022,2933,89,2.9
CN1306700000000,13,67,"Cobb County, GA",2021,423126,409319,13807,3.3
CN1306900000000,13,69,"Coffee County, GA",2021,18845,18079,766,4.1
CN1307100000000,13,71,"Colquitt County, GA",2021,22227,21514,713,3.2
CN1307300000000,13,73,"Columbia County, GA",2021,76478,74420,2058,2.7
CN1307500000000,13,75,"Cook County, GA",2021,8237,7957,280,3.4
CN1307700000000,13,77,"Coweta County, GA",2021,76218,73661,2557,3.4
CN1307900000000,13,79,"Crawford County, GA",2021,5523,5319,204,3.7
CN1308100000000,13,81,"Crisp County, GA",2021,10068,9206,862,8.6
CN1308300000000,13,83,"Dade County, GA",2021,8049,7839,210,2.6
CN1308500000000,13,85,"Dawson County, GA",2021,13115,12765,350,2.7
CN1308700000000,13,87,"Decatur County, GA",2021,11338,10923,415,3.7
CN1308900000000,13,89,"DeKalb County, GA",2021,400667,382143,18524,4.6
CN1309100000000,13,91,"Dodge County, GA",2021,7005,6709,296,4.2
CN1309300000000,13,93,"Dooly County, GA",2021,4936,4577,359,7.3
CN1309500000000,13,95,"Dougherty County, GA",2021,37494,35110,2384,6.4
CN1309700000000,13,97,"Douglas County, GA",2021,74001,70771,3230,4.4
CN1309900000000,13,99,"Early County, GA",2021,4338,4121,217,5.0
CN1310100000000,13,101,"Echols County, GA",2021,1897,1845,52,2.7
CN1310300000000,13,103,"Effingham County, GA",2021,33266,32292,974,2.9
CN1310500000000,13,105,"Elbert County, GA",2021,7810,7429,381,4.9
CN1310700000000,13,107,"Emanuel County, GA",2021,8698,8240,458,5.3
CN1310900000000,13,109,"Evans County, GA",2021,5179,4998,181,3.5
CN1311100000000,13,111,"Fannin County, GA",2021,11797,11463,334,2.8
CN1311300000000,13,113,"Fayette County, GA",2021,58170,56475,1695,2.9
CN1311500000000,13,115,"Floyd County, GA",2021,43891,42277,1614,3.7
CN1311700000000,13,117,"Forsyth County, GA",2021,127031,123874,3157,2.5
CN1311900000000,13,119,"Franklin County, GA",2021,10111,9740,371,3.7
CN1312100000000,13,121,"Fulton County, GA",2021,569144,542664,26480,4.7
CN1312300000000,13,123,"Gilmer County, GA",2021,12343,11969,374,3.0
CN1312500000000,13,125,"Glascock County, GA",2021,1263,1230,33,2.6
CN1312700000000,13,127,"Glynn County, GA",2021,39201,37727,1474,3.8
CN1312900000000,13,129,"Gordon County, GA",2021,28846,27923,923,3.2
CN1313100000000,13,131,"Grady County, GA",2021,11040,10695,345,3.1
CN1313300000000,13,133,"Greene County, GA",2021,7231,6961,270,3.7
CN1313500000000,13,135,"Gwinnett County, GA",2021,492181,475000,17181,3.5
CN1313700000000,13,137,"Habersham County, GA",2021,18592,17930,662,3.6
CN1313900000000,13,139,"Hall County, GA",2021,104792,102000,2792,2.7
CN1314100000000,13,141,"Hancock County, GA",2021,2530,2369,161,6.4
CN1314300000000,13,143,"Haralson County, GA",2021,12750,12303,447,3.5
CN1314500000000,13,145,"Harris County, GA",2021,16881,16397,484,2.9
CN1314700000000,13,147,"Hart County, GA",2021,11640,11184,456,3.9
CN1314900000000,13,149,"Heard County, GA",2021,5239,5036,203,3.9
CN1315100000000,13,151,"Henry County, GA",2021,118685,113693,4992,4.2
CN1315300000000,13,153,"Houston County, GA",2021,71710,69142,2568,3.6
CN1315500000000,13,155,"Irwin County, GA",2021,3568,3407,161,4.5
CN1315700000000,13,157,"Jackson County, GA",2021,42806,41787,1019,2.4
CN1315900000000,13,159,"Jasper County, GA",2021,7065,6838,227,3.2
CN1316100000000,13,161,"Jeff Davis County, GA",2021,6100,5858,242,4.0
CN1316300000000,13,163,"Jefferson County, GA",2021,6979,6652,327,4.7
CN1316500000000,13,165,"Jenkins County, GA",2021,3217,3066,151,4.7
CN1316700000000,13,167,"Johnson County, GA",2021,4150,4003,147,3.5
CN1316900000000,13,169,"Jones County, GA",2021,13642,13224,418,3.1
CN1317100000000,13,171,"Lamar County, GA",2021,8249,7904,345,4.2
CN1317300000000,13,173,"Lanier County, GA",2021,3850,3703,147,3.8
CN1317500000000,13,175,"Laurens County, GA",2021,19818,18974,844,4.3
CN1317700000000,13,177,"Lee County, GA",2021,15173,14707,466,3.1
CN1317900000000,13,179,"Liberty County, GA",2021,26349,25304,1045,4.0
CN1318100000000,13,181,"Lincoln County, GA",2021,3558,3415,143,4.0
CN1318300000000,13,183,"Long County, GA",2021,8467,8210,257,3.0
CN1318500000000,13,185,"Lowndes County, GA",2021,51719,49616,2103,4.1
CN1318700000000,13,187,"Lumpkin County, GA",2021,17402,16923,479,2.8
CN1318900000000,13,189,"McDuffie County, GA",2021,8554,8107,447,5.2
CN1319100000000,13,191,"McIntosh County, GA",2021,6129,5904,225,3.7
CN1319300000000,13,193,"Macon County, GA",2021,4684,4389,295,6.3
CN1319500000000,13,195,"Madison County, GA",2021,13599,13184,415,3.1
CN1319700000000,13,197,"Marion County, GA",2021,3257,3139,118,3.6
CN1319900000000,13,199,"Meriwether County, GA",2021,8897,8429,468,5.3
CN1320100000000,13,201,"Miller County, GA",2021,2782,2698,84,3.0
CN1320500000000,13,205,"Mitchell County, GA",2021,8228,7813,415,5.0
CN1320700000000,13,207,"Monroe County, GA",2021,13124,12714,410,3.1
CN1320900000000,13,209,"Montgomery County, GA",2021,3858,3699,159,4.1
CN1321100000000,13,211,"Morgan County, GA",2021,9521,9212,309,3.2
CN1321300000000,13,213,"Murray County, GA",2021,15477,14812,665,4.3
CN1321500000000,13,215,"Muscogee County, GA",2021,76629,72553,4076,5.3
CN1321700000000,13,217,"Newton County, GA",2021,53410,51064,2346,4.4
CN1321900000000,13,219,"Oconee County, GA",2021,20285,19842,443,2.2
CN1322100000000,13,221,"Oglethorpe County, GA",2021,7027,6826,201,2.9
CN1322300000000,13,223,"Paulding County, GA",2021,89362,86668,2694,3.0
CN1322500000000,13,225,"Peach County, GA",2021,12060,11498,562,4.7
CN1322700000000,13,227,"Pickens County, GA",2021,15533,15099,434,2.8
CN1322900000000,13,229,"Pierce County, GA",2021,8623,8354,269,3.1
CN1323100000000,13,231,"Pike County, GA",2021,8981,8728,253,2.8
CN1323300000000,13,233,"Polk County, GA",2021,18480,17823,657,3.6
CN1323500000000,13,235,"Pulaski County, GA",2021,4048,3902,146,3.6
CN1323700000000,13,237,"Putnam County, GA",2021,8661,8314,347,4.0
CN1323900000000,13,239,"Quitman County, GA",2021,768,730,38,4.9
CN1324100000000,13,241,"Rabun County, GA",2021,7528,7292,236,3.1
CN1324300000000,13,243,"Randolph County, GA",2021,2373,2250,123,5.2
CN1324500000000,13,245,"Richmond County, GA",2021,84416,79901,4515,5.3
CN1324700000000,13,247,"Rockdale County, GA",2021,44591,42529,2062,4.6
CN1324900000000,13,249,"Schley County, GA",2021,2134,2055,79,3.7
CN1325100000000,13,251,"Screven County, GA",2021,5122,4834,288,5.6
CN1325300000000,13,253,"Seminole County, GA",2021,3059,2945,114,3.7
CN1325500000000,13,255,"Spalding County, GA",2021,28984,27627,1357,4.7
CN1325700000000,13,257,"Stephens County, GA",2021,10512,10059,453,4.3
CN1325900000000,13,259,"Stewart County, GA",2021,2562,2464,98,3.8
CN1326100000000,13,261,"Sumter County, GA",2021,12334,11627,707,5.7
CN1326300000000,13,263,"Talbot County, GA",2021,2775,2649,126,4.5
CN1326500000000,13,265,"Taliaferro County, GA",2021,535,508,27,5.0
CN1326700000000,13,267,"Tattnall County, GA",2021,9621,9313,308,3.2
CN1326900000000,13,269,"Taylor County, GA",2021,2950,2782,168,5.7
CN1327100000000,13,271,"Telfair County, GA",2021,3735,3467,268,7.2
CN1327300000000,13,273,"Terrell County, GA",2021,3568,3347,221,6.2
CN1327500000000,13,275,"Thomas County, GA",2021,17576,16841,735,4.2
CN1327700000000,13,277,"Tift County, GA",2021,21225,20501,724,3.4
CN1327900000000,13,279,"Toombs County, GA",2021,12171,11627,544,4.5
CN1328100000000,13,281,"Towns County, GA",2021,4055,3895,160,3.9
CN1328300000000,13,283,"Treutlen County, GA",2021,2630,2518,112,4.3
CN1328500000000,13,285,"Troup County, GA",2021,37678,36030,1648,4.4
CN1328700000000,13,287,"Turner County, GA",2021,3283,3073,210,6.4
CN1328900000000,13,289,"Twiggs County, GA",2021,2804,2661,143,5.1
CN1329100000000,13,291,"Union County, GA",2021,11094,10794,300,2.7
CN1329300000000,13,293,"Upson County, GA",2021,11628,11162,466,4.0
CN1329500000000,13,295,"Walker County, GA",2021,31304,30327,977,3.1
CN1329700000000,13,297,"Walton County, GA",2021,46945,45448,1497,3.2
CN1329900000000,13,299,"Ware County, GA",2021,15404,14837,567,3.7
CN1330100000000,13,301,"Warren County, GA",2021,2684,2558,126,4.7
CN1330300000000,13,303,"Washington County, GA",2021,6875,6532,343,5.0
CN1330500000000,13,305,"Wayne County, GA",2021,11919,11473,446,3.7
CN1330700000000,13,307,"Webster County, GA",2021,992,948,44,4.4
CN1330900000000,13,309,"Wheeler County, GA",2021,1637,1547,90,5.5
CN1331100000000,13,311,"White County, GA",2021,16616,16194,422,2.5
CN1331300000000,13,313,"Whitfield County, GA",2021,43361,41664,1697,3.9
CN1331500000000,13,315,"Wilcox County, GA",2021,2778,2649,129,4.6
CN1331700000000,13,317,"Wilkes County, GA",2021,3657,3486,171,4.7
CN1331900000000,13,319,"Wilkinson County, GA",2021,3657,3505,152,4.2
CN1332100000000,13,321,"Worth County, GA",2021,8888,8536,352,4.0
CN1500100000000,15,1,"Hawaii County, HI",2021,93848,88679,5169,5.5
CN1500300000000,15,3,"Honolulu County/city, HI",2021,451661,427780,23881,5.3
CN1500700000000,15,7,"Kauai County, HI",2021,35949,33153,2796,7.8
CN1500900000000,15,9,"Maui County, HI",2021,86954,80575,6379,7.3
CN1600100000000,16,1,"Ada County, ID",2021,266936,258240,8696,3.3
CN1600300000000,16,3,"Adams County, ID",2021,1804,1685,119,6.6
CN1600500000000,16,5,"Bannock County, ID",2021,42735,41215,1520,3.6
CN1600700000000,16,7,"Bear Lake County, ID",2021,3121,3027,94,3.0
CN1600900000000,16,9,"Benewah County, ID",2021,4092,3864,228,5.6
CN1601100000000,16,11,"Bingham County, ID",2021,24278,23503,775,3.2
CN1601300000000,16,13,"Blaine County, ID",2021,12885,12416,469,3.6
CN1601500000000,16,15,"Boise County, ID",2021,3734,3532,202,5.4
CN1601700000000,16,17,"Bonner County, ID",2021,21552,20519,1033,4.8
CN1601900000000,16,19,"Bonneville County, ID",2021,60471,58722,1749,2.9
CN1602100000000,16,21,"Boundary County, ID",2021,5597,5353,244,4.4
CN1602300000000,16,23,"Butte County, ID",2021,1447,1392,55,3.8
CN1602500000000,16,25,"Camas County, ID",2021,704,680,24,3.4
CN1602700000000,16,27,"Canyon County, ID",2021,110244,105885,4359,4.0
CN1602900000000,16,29,"Caribou County, ID",2021,4128,4000,128,3.1
CN1603100000000,16,31,"Cassia County, ID",2021,12613,12248,365,2.9
CN1603300000000,16,33,"Clark County, ID",2021,377,365,12,3.2
CN1603500000000,16,35,"Clearwater County, ID",2021,3033,2837,196,6.5
CN1603700000000,16,37,"Custer County, ID",2021,2279,2173,106,4.7
CN1603900000000,16,39,"Elmore County, ID",2021,12015,11566,449,3.7
CN1604100000000,16,41,"Franklin County, ID",2021,7369,7187,182,2.5
CN1604300000000,16,43,"Fremont County, ID",2021,8191,7955,236,2.9
CN1604500000000,16,45,"Gem County, ID",2021,8739,8380,359,4.1
CN1604700000000,16,47,"Gooding County, ID",2021,8381,8117,264,3.1
CN1604900000000,16,49,"Idaho County, ID",2021,6822,6487,335,4.9
CN1605100000000,16,51,"Jefferson County, ID",2021,14673,14274,399,2.7
CN1605300000000,16,53,"Jerome County, ID",2021,12348,11936,412,3.3
CN1605500000000,16,55,"Kootenai County, ID",2021,82719,79179,3540,4.3
CN1605700000000,16,57,"Latah County, ID",2021,19857,19197,660,3.3
CN1605900000000,16,59,"Lemhi County, ID",2021,3713,3515,198,5.3
CN1606100000000,16,61,"Lewis County, ID",2021,1661,1567,94,5.7
CN1606300000000,16,63,"Lincoln County, ID",2021,2698,2578,120,4.4
CN1606500000000,16,65,"Madison County, ID",2021,23322,22810,512,2.2
CN1606700000000,16,67,"Minidoka County, ID",2021,11852,11480,372,3.1
CN1606900000000,16,69,"Nez Perce County, ID",2021,20918,20235,683,3.3
CN1607100000000,16,71,"Oneida County, ID",2021,2578,2514,64,2.5
CN1607300000000,16,73,"Owyhee County, ID",2021,5604,5361,243,4.3
CN1607500000000,16,75,"Payette County, ID",2021,12081,11598,483,4.0
CN1607700000000,16,77,"Power County, ID",2021,4159,3999,160,3.8
CN1607900000000,16,79,"Shoshone County, ID",2021,5499,5135,364,6.6
CN1608100000000,16,81,"Teton County, ID",2021,7105,6898,207,2.9
CN1608300000000,16,83,"Twin Falls County, ID",2021,42103,40600,1503,3.6
CN1608500000000,16,85,"Valley County, ID",2021,5784,5480,304,5.3
CN1608700000000,16,87,"Washington County, ID",2021,4838,4627,211,4.4
CN1700100000000,17,1,"Adams County, IL",2021,30856,29647,1209,3.9
CN1700300000000,17,3,"Alexander County, IL",2021,1831,1682,149,8.1
CN1700500000000,17,5,"Bond County, IL",2021,7425,7084,341,4.6
CN1700700000000,17,7,"Boone County, IL",2021,24982,22849,2133,8.5
CN1700900000000,17,9,"Brown County, IL",2021,3012,2937,75,2.5
CN1701100000000,17,11,"Bureau County, IL",2021,16347,15536,811,5.0
CN1701300000000,17,13,"Calhoun County, IL",2021,2164,2061,103,4.8
CN1701500000000,17,15,"Carroll County, IL",2021,7545,7226,319,4.2
CN1701700000000,17,17,"Cass County, IL",2021,5667,5389,278,4.9
CN1701900000000,17,19,"Champaign County, IL",2021,108489,103230,5259,4.8
CN1702100000000,17,21,"Christian County, IL",2021,13401,12671,730,5.4
CN1702300000000,17,23,"Clark County, IL",2021,7233,6870,363,5.0
CN1702500000000,17,25,"Clay County, IL",2021,5900,5574,326,5.5
CN1702700000000,17,27,"Clinton County, IL",2021,19742,19061,681,3.4
CN1702900000000,17,29,"Coles County, IL",2021,22756,21591,1165,5.1
CN1703100000000,17,31,"Cook County, IL",2021,2594101,2411555,182546,7.0
CN1703300000000,17,33,"Crawford County, IL",2021,8469,8043,426,5.0
CN1703500000000,17,35,"Cumberland County, IL",2021,5920,5674,246,4.2
CN1703700000000,17,37,"DeKalb County, IL",2021,53006,50012,2994,5.6
CN1703900000000,17,39,"De Witt County, IL",2021,7094,6748,346,4.9
CN1704100000000,17,41,"Douglas County, IL",2021,10153,9778,375,3.7
CN1704300000000,17,43,"DuPage County, IL",2021,499576,477095,22481,4.5
CN1704500000000,17,45,"Edgar County, IL",2021,8931,8572,359,4.0
CN1704700000000,17,47,"Edwards County, IL",2021,2550,2420,130,5.1
CN1704900000000,17,49,"Effingham County, IL",2021,19397,18644,753,3.9
CN1705100000000,17,51,"Fayette County, IL",2021,9804,9303,501,5.1
CN1705300000000,17,53,"Ford County, IL",2021,6207,5932,275,4.4
CN1705500000000,17,55,"Franklin County, IL",2021,15656,14618,1038,6.6
CN1705700000000,17,57,"Fulton County, IL",2021,14421,13601,820,5.7
CN1705900000000,17,59,"Gallatin County, IL",2021,1954,1835,119,6.1
CN1706100000000,17,61,"Greene County, IL",2021,5874,5601,273,4.6
CN1706300000000,17,63,"Grundy County, IL",2021,25122,23796,1326,5.3
CN1706500000000,17,65,"Hamilton County, IL",2021,4208,4025,183,4.3
CN1706700000000,17,67,"Hancock County, IL",2021,8079,7731,348,4.3
CN1706900000000,17,69,"Hardin County, IL",2021,1322,1233,89,6.7
CN1707100000000,17,71,"Henderson County, IL",2021,3543,3401,142,4.0
CN1707300000000,17,73,"Henry County, IL",2021,23644,22491,1153,4.9
CN1707500000000,17,75,"Iroquois County, IL",2021,13086,12470,616,4.7
CN1707700000000,17,77,"Jackson County, IL",2021,27201,25730,1471,5.4
CN1707900000000,17,79,"Jasper County, IL",2021,4723,4522,201,4.3
CN1708100000000,17,81,"Jefferson County, IL",2021,16498,15476,1022,6.2
CN1708300000000,17,83,"Jersey County, IL",2021,10545,10083,462,4.4
CN1708500000000,17,85,"Jo Daviess County, IL",2021,10552,10087,465,4.4
CN1708700000000,17,87,"Johnson County, IL",2021,4088,3843,245,6.0
CN1708900000000,17,89,"Kane County, IL",2021,259900,244555,15345,5.9
CN1709100000000,17,91,"Kankakee County, IL",2021,52515,49100,3415,6.5
CN1709300000000,17,93,"Kendall County, IL",2021,69542,66284,3258,4.7
CN1709500000000,17,95,"Knox County, IL",2021,20453,19110,1343,6.6
CN1709700000000,17,97,"Lake County, IL",2021,365816,346560,19256,5.3
CN1709900000000,17,99,"LaSalle County, IL",2021,52681,49536,3145,6.0
CN1710100000000,17,101,"Lawrence County, IL",2021,5602,5261,341,6.1
CN1710300000000,17,103,"Lee County, IL",2021,16913,16144,769,4.5
CN1710500000000,17,105,"Livingston County, IL",2021,15499,14739,760,4.9
CN1710700000000,17,107,"Logan County, IL",2021,11820,11253,567,4.8
CN1710900000000,17,109,"McDonough County, IL",2021,12693,12069,624,4.9
CN1711100000000,17,111,"McHenry County, IL",2021,163096,155389,7707,4.7
CN1711300000000,17,113,"McLean County, IL",2021,85656,81746,3910,4.6
CN1711500000000,17,115,"Macon County, IL",2021,46552,42989,3563,7.7
CN1711700000000,17,117,"Macoupin County, IL",2021,21984,20988,996,4.5
CN1711900000000,17,119,"Madison County, IL",2021,130828,124425,6403,4.9
CN1712100000000,17,121,"Marion County, IL",2021,16810,15835,975,5.8
CN1712300000000,17,123,"Marshall County, IL",2021,5092,4806,286,5.6
CN1712500000000,17,125,"Mason County, IL",2021,5904,5584,320,5.4
CN1712700000000,17,127,"Massac County, IL",2021,5368,5059,309,5.8
CN1712900000000,17,129,"Menard County, IL",2021,6145,5893,252,4.1
CN1713100000000,17,131,"Mercer County, IL",2021,7555,7184,371,4.9
CN1713300000000,17,133,"Monroe County, IL",2021,18465,17886,579,3.1
CN1713500000000,17,135,"Montgomery County, IL",2021,11279,10668,611,5.4
